user,item,timestamp
182,5643,1054781376
89,42761,1520409141
359,541,1198112228
183,1408,992331493
111,119155,1516152412
80,2513,1377307812
448,117590,1446908340
514,1258,1535943481
68,1101,1158533140
325,80,1039397611
509,1588,1436000408
131,31,1349838570
45,2355,950728148
156,3167,946800232
440,1199,1237569063
312,5065,1043176981
57,2102,965796031
603,2020,953927590
337,778,860255929
116,356,1337199672
122,63113,1461561761
201,185,941211804
167,318,1154722100
139,60072,1453925062
68,628,1158534567
16,293,1377477870
448,99992,1374953846
450,1073,974706008
178,380,1164355018
599,59369,1498518401
581,4226,1447007261
215,1347,1260905513
610,4228,1493847574
81,288,845299800
414,2120,961518176
340,185,848666415
323,111443,1422640855
232,586,1218167353
186,3740,1031073228
28,1245,1234338202
195,4067,1002764403
414,86190,1511537178
596,141131,1535712067
561,1394,1491092758
602,448,840876417
202,2983,974924755
195,553,974706168
200,44761,1229878699
387,5296,1117414752
514,104841,1533872356
510,2710,1141158757
290,2385,974942658
221,446,1111178224
598,7361,1430616909
596,4014,1535833814
414,157699,1519593368
34,31685,1166464153
62,2115,1521822456
448,105211,1412437686
137,1242,1204859745
438,2642,1105664766
606,47538,1244573590
352,51662,1493674121
572,3093,945890357
129,4878,1167376533
279,164179,1506395001
428,6365,1111489458
152,858,1450572429
328,1198,1494210760
427,435,1053068798
